,STATION,NAME,DATE,AWND,PGTM,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT08
115,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-04-25,4.25,,0.0,,69,55,320.0,270.0,15.0,28.0,,,
116,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-04-26,2.46,,0.0,,70,53,270.0,270.0,10.1,17.0,,,
117,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-04-27,2.91,,0.0,,70,55,270.0,280.0,13.0,21.0,,,1.0
118,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-04-28,2.46,,0.0,,71,55,270.0,280.0,10.1,18.1,,,
119,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-04-29,2.91,,0.0,,69,56,280.0,280.0,8.9,17.0,,,
120,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-04-30,1.79,,0.0,,69,56,270.0,280.0,12.1,17.0,,,
121,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-01,2.46,,0.0,,73,58,280.0,280.0,8.9,17.0,,,
122,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-02,1.79,,0.0,,72,56,270.0,270.0,12.1,16.1,1.0,,
123,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-03,2.46,,0.0,,77,57,280.0,270.0,12.1,16.1,,,
124,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-04,2.24,,0.0,,69,56,280.0,270.0,8.9,16.1,1.0,,1.0
125,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-05,1.57,,1.0,,68,57,270.0,270.0,8.1,15.0,,,
126,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-06,1.12,,0.0,,67,57,270.0,150.0,8.9,16.1,,,
127,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-07,2.01,,0.0,,68,57,270.0,280.0,10.1,17.0,,,
128,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-08,2.24,,0.0,,71,57,270.0,270.0,10.1,17.0,,,
129,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-09,1.57,,0.0,,68,58,270.0,270.0,8.9,18.1,,,
130,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-10,1.57,,0.0,,70,57,270.0,280.0,8.1,14.1,,,1.0
131,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-11,2.01,,0.0,,72,59,270.0,260.0,10.1,16.1,,,1.0
132,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-12,1.79,,0.0,,75,58,270.0,280.0,8.9,14.1,1.0,,1.0
133,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-13,2.01,,0.0,,78,60,270.0,270.0,8.1,16.1,1.0,,1.0
134,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-14,2.01,,0.0,,72,62,270.0,270.0,8.9,17.0,,,
135,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-15,2.01,,0.0,,72,62,270.0,270.0,10.1,15.0,,,
136,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-16,0.89,,0.0,,71,61,290.0,270.0,8.1,13.0,,,
137,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-17,2.68,,0.0,,72,61,280.0,270.0,10.1,16.1,,,
